date,open,high,low,close
16/03/2020 11:10,6.3724,6.3734,6.3715,6.3723
16/03/2020 11:20,6.3723,6.3768,6.3719,6.3751
16/03/2020 11:30,6.3751,6.3788,6.3746,6.3784
16/03/2020 11:40,6.3784,6.3792,6.3764,6.3784
16/03/2020 11:50,6.3784,6.3792,6.373,6.3734
16/03/2020 12:00,6.3734,6.3806,6.3718,6.3805
16/03/2020 12:10,6.3805,6.3841,6.3779,6.3804
16/03/2020 12:20,6.3804,6.3837,6.3804,6.3824
16/03/2020 12:30,6.3824,6.3856,6.3824,6.3844
16/03/2020 12:40,6.3844,6.3882,6.3834,6.3874
16/03/2020 12:50,6.3874,6.3933,6.3848,6.3848
16/03/2020 13:00,6.3848,6.3881,6.3828,6.3873
16/03/2020 13:10,6.3873,6.3883,6.3859,6.3869
16/03/2020 13:20,6.3869,6.3908,6.385,6.3904
16/03/2020 13:30,6.3904,6.3946,6.3887,6.3935
16/03/2020 13:40,6.3935,6.3977,6.3909,6.3967
16/03/2020 13:50,6.3966,6.3985,6.3939,6.3981
16/03/2020 14:00,6.3981,6.3998,6.3962,6.3997
16/03/2020 14:10,6.3997,6.4013,6.3976,6.3994
16/03/2020 14:20,6.3994,6.4018,6.3989,6.4017
16/03/2020 14:30,6.4018,6.4058,6.4007,6.4039
16/03/2020 14:40,6.4039,6.4088,6.4029,6.4063
16/03/2020 14:50,6.4063,6.4103,6.4063,6.4099
16/03/2020 15:00,6.4099,6.4157,6.4088,6.4124
16/03/2020 15:10,6.4124,6.4177,6.4123,6.4165
16/03/2020 15:20,6.4166,6.4218,6.4148,6.4204
16/03/2020 15:30,6.4204,6.4206,6.4143,6.4179
16/03/2020 15:40,6.4179,6.4226,6.4178,6.4189
16/03/2020 15:50,6.419,6.419,6.4125,6.414
16/03/2020 16:00,6.414,6.414,6.4028,6.4034
16/03/2020 16:10,6.4034,6.408,6.399,6.408
16/03/2020 16:20,6.408,6.4087,6.4022,6.4067
16/03/2020 16:30,6.4067,6.4161,6.4066,6.4143
16/03/2020 16:40,6.4143,6.4153,6.4112,6.4149
16/03/2020 16:50,6.4149,6.4171,6.4132,6.4153
